Year_2024,Year_2025,Class_Level,Host_Family,Phone_Language,Phone_Keyboard,Screen_Time,Interaction_Score,Speaking_Score,Speak_Hours_Score,Use_French_Score,French_Hours_Score,Read_French_Score,Write_French_Score,Listen_French_Score,Speak_French_Score,Competence_Score,Intention_Score
0,0,2,0,1,1,NA,20,20,1,6,2,10,8,13,9,40,11
0,0,2,0,1,1,NA,18,28,21,25,17,15,15,15,13,58,8
0,0,0,0,1,1,1008,27,4,4,8,4,8,2,6,4,20,1
0,0,2,0,1,1,2026.5,16,13,3,8,0,17,17,9,14,57,9
0,0,3,1,1,1,NA,34,33,21,28,20,20,20,20,20,80,20
0,0,0,0,0,1,1102.6666666666667,22,21,4,14,0,8,5,7,7,27,6
0,0,3,0,0,1,819,31,27,1,19,0,16,15,15,15,61,13
0,0,4,1,0,1,NA,28,35,25,12,12,13,20,15,18,66,16
0,0,0,0,0,1,NA,15,18,4,10,0,7,4,5,5,21,0
0,0,1,1,1,1,918.75,23,23,14,24,9,18,12,17,11,58,14
0,0,1,0,0,1,755.75,22,12,2,16,1,15,12,7,10,44,9
0,0,0,0,0,0,NA,29,11,5,12,9,8,8,9,7,32,4
0,0,4,1,1,1,770,23,35,10,28,4,16,17,19,20,72,8
0,0,3,1,1,1,NA,21,33,6,28,4,19,17,18,19,73,7
0,0,0,0,1,1,NA,26,21,3,20,10,10,5,10,9,34,2
0,0,1,0,0,1,NA,27,22,0,14,0,4,2,0,3,9,1
0,0,2,0,1,1,NA,21,31,25,28,20,15,15,15,16,61,12
0,0,1,0,0,0,408,20,16,1,13,0,14,9,8,8,39,0
0,0,2,1,0,1,1248,20,18,0,19,13,7,3,3,4,17,4
0,0,0,1,0,1,243.33333333333334,29,31,21,27,18,13,10,16,11,50,5
0,0,1,0,0,1,1864.75,32,26,23,28,16,15,10,10,5,40,10
0,0,1,1,1,1,915.5,23,19,10,17,11,11,7,10,9,37,16
0,0,1,1,0,1,707.25,25,14,3,16,2,13,9,7,14,43,4
0,0,1,0,0,1,466,28,24,4,18,9,15,16,11,19,61,13
0,0,1,1,0,1,2349.3333333333335,16,26,1,21,1,11,11,12,13,47,4
1,0,0,0,0,0,1154.3333333333333,30,33,10,11,6,11,10,10,13,44,10
1,0,3,1,0,1,NA,26,23,10,22,16,11,12,6,15,44,11
1,0,2,1,0,1,NA,26,14,1,15,1,11,11,15,14,51,5
1,0,0,1,0,1,987.6666666666666,25,17,5,16,3,9,11,6,12,38,8
1,0,3,0,0,0,NA,16,15,1,8,0,14,14,12,15,55,10
1,0,3,1,1,0,966.5,23,24,6,16,6,18,15,18,17,68,12
1,0,1,1,0,1,2869,13,0,0,3,0,2,1,0,0,3,0
1,0,2,0,0,1,NA,20,6,1,7,0,15,12,8,4,39,9
1,0,1,0,1,1,NA,26,25,4,13,3,13,18,12,20,63,15
1,0,2,0,0,1,NA,24,16,2,16,1,14,18,15,17,64,1
1,0,1,1,0,1,NA,20,22,16,23,16,12,10,7,11,40,10
1,0,3,0,1,1,NA,24,29,10,19,5,15,16,13,18,62,10
1,0,3,1,1,1,142.5,18,21,7,16,8,10,10,6,10,36,11
1,0,1,1,0,1,NA,22,30,6,23,3,12,7,4,4,27,8
0,1,1,0,1,0,281,22,11,5,12,2,13,12,10,8,43,9
0,1,3,1,1,1,NA,30,24,5,7,3,17,15,10,18,60,19
0,1,0,0,0,0,160,22,24,4,15,1,11,5,0,0,16,5
0,1,0,0,0,1,NA,25,12,6,16,12,9,5,8,5,27,6
0,1,1,0,1,0,1891,29,16,3,11,3,15,16,12,11,54,4
0,1,0,0,0,1,257.5,18,35,6,10,6,11,5,6,6,28,1
0,1,3,0,1,1,NA,33,35,18,28,7,17,14,15,17,63,12
0,1,0,0,0,1,NA,28,25,6,20,3,15,12,8,11,46,0
0,1,3,0,1,1,NA,28,13,8,9,7,19,5,20,10,54,15
0,1,1,0,0,1,NA,15,10,3,12,3,17,17,13,15,62,4
0,1,3,0,1,1,NA,18,14,3,9,5,12,14,10,14,50,8
0,1,4,1,1,1,NA,22,13,8,11,7,18,15,20,20,73,9
0,1,1,1,1,1,533.3333333333334,24,35,3,20,5,14,10,15,13,52,14
0,1,1,0,1,1,NA,21,19,2,13,0,7,2,4,3,16,8
0,1,3,1,1,1,768.3333333333334,28,29,4,15,6,19,17,17,18,71,16
0,1,1,0,0,1,1023,22,13,3,10,2,12,14,3,5,34,9
0,1,3,1,1,1,NA,26,11,2,15,2,14,15,11,15,55,16
0,1,0,0,1,1,NA,34,27,20,27,20,13,10,7,7,37,6
0,1,1,0,0,0,NA,22,30,8,11,10,17,13,13,10,53,4
