Year_2024,Year_2025,Class_Level,Host,Host_French,Host_English,Phone_Language,Phone_Keyboard,Screen_Time,Interaction_Score,Speaking_Score,Speak_Hours_Score,Use_French_Score,French_Hours_Score,Read_French_Score,Write_French_Score,Listen_French_Score,Speak_French_Score,Competence_Score,Continue_French_Score
0,0,2,0,0,0,1,1,NA,30,20,1,6,2,15,13,18,14,60,16
0,0,2,0,0,0,1,1,NA,28,28,21,25,17,20,20,20,18,78,13
0,0,0,0,0,0,1,1,1008,37,4,4,8,4,13,7,11,9,40,6
0,0,2,0,0,0,1,1,2026.5,26,13,3,8,0,22,22,14,19,77,14
0,0,3,1,0,1,1,1,NA,44,33,21,28,20,25,25,25,25,100,25
0,0,0,0,0,0,0,1,1102.66666666667,32,21,4,14,0,13,10,12,12,47,11
0,0,3,0,0,0,0,1,819,41,27,1,19,0,21,20,20,20,81,18
0,0,4,1,1,0,0,1,NA,38,35,25,12,12,18,25,20,23,86,21
0,0,0,0,0,0,0,1,NA,25,18,4,10,0,12,9,10,10,41,5
0,0,1,1,0,1,1,1,918.75,33,23,14,24,9,23,17,22,16,78,19
0,0,1,0,0,0,0,1,755.75,32,12,2,16,1,20,17,12,15,64,14
0,0,0,0,0,0,0,0,NA,39,11,5,12,9,13,13,14,12,52,9
0,0,4,1,1,0,1,1,770,33,35,10,28,4,21,22,24,25,92,13
0,0,3,1,0,1,1,1,NA,31,33,6,28,4,24,22,23,24,93,12
0,0,0,0,0,0,1,1,NA,36,21,3,20,10,15,10,15,14,54,7
0,0,1,0,0,0,0,1,NA,37,22,0,14,0,9,7,5,8,29,6
0,0,2,0,0,0,1,1,NA,31,31,25,28,20,20,20,20,21,81,17
0,0,1,0,0,0,0,0,408,30,16,1,13,0,19,14,13,13,59,5
0,0,2,1,1,0,0,1,1248,30,18,0,19,13,12,8,8,9,37,9
0,0,0,1,0,1,0,1,243.333333333333,39,31,21,27,18,18,15,21,16,70,10
0,0,1,0,0,0,0,1,1864.75,42,26,23,28,16,20,15,15,10,60,15
0,0,1,1,0,1,1,1,915.5,33,19,10,17,11,16,12,15,14,57,21
0,0,1,1,0,1,0,1,707.25,35,14,3,16,2,18,14,12,19,63,9
0,0,1,0,0,0,0,1,466,38,24,4,18,9,20,21,16,24,81,18
0,0,1,1,0,1,0,1,2349.33333333333,26,26,1,21,1,16,16,17,18,67,9
1,0,0,0,0,0,0,0,1154.33333333333,40,33,10,11,6,16,15,15,18,64,15
1,0,3,1,0,1,0,1,NA,36,23,10,22,16,16,17,11,20,64,16
1,0,2,1,0,1,0,1,NA,36,14,1,15,1,16,16,20,19,71,10
1,0,0,1,0,1,0,1,987.666666666667,35,17,5,16,3,14,16,11,17,58,13
1,0,3,0,0,0,0,0,NA,26,15,1,8,0,19,19,17,20,75,15
1,0,3,1,0,1,1,0,966.5,33,24,6,16,6,23,20,23,22,88,17
1,0,2,0,0,0,0,1,NA,30,6,1,7,0,20,17,13,9,59,14
1,0,1,0,0,0,1,1,NA,36,25,4,13,3,18,23,17,25,83,20
1,0,1,1,0,1,0,1,NA,30,22,16,23,16,17,15,12,16,60,15
1,0,3,0,0,0,1,1,NA,34,29,10,19,5,20,21,18,23,82,15
1,0,3,1,1,0,1,1,142.5,28,21,7,16,8,15,15,11,15,56,16
0,1,1,0,0,0,1,0,281,32,11,5,12,2,18,17,15,13,63,14
0,1,3,1,1,0,1,1,NA,40,24,5,7,3,22,20,15,23,80,24
0,1,0,0,0,0,0,0,160,32,24,4,15,1,16,10,5,5,36,10
0,1,0,0,0,0,0,1,NA,35,12,6,16,12,14,10,13,10,47,11
0,1,1,0,0,0,1,0,1891,39,16,3,11,3,20,21,17,16,74,9
0,1,3,0,0,0,1,1,NA,43,35,18,28,7,22,19,20,22,83,17
0,1,0,0,0,0,0,1,NA,38,25,6,20,3,20,17,13,16,66,5
0,1,3,0,0,0,1,1,NA,38,13,8,9,7,24,10,25,15,74,20
0,1,1,0,0,0,0,1,NA,25,10,3,12,3,22,22,18,20,82,9
0,1,3,0,0,0,1,1,NA,28,14,3,9,5,17,19,15,19,70,13
0,1,4,1,1,0,1,1,NA,32,13,8,11,7,23,20,25,25,93,14
0,1,1,1,1,0,1,1,533.333333333333,34,35,3,20,5,19,15,20,18,72,19
0,1,1,0,0,0,1,1,NA,31,19,2,13,0,12,7,9,8,36,13
0,1,3,1,1,0,1,1,768.333333333333,38,29,4,15,6,24,22,22,23,91,21
0,1,1,0,0,0,0,1,1023,32,13,3,10,2,17,19,8,10,54,14
0,1,3,1,1,0,1,1,NA,36,11,2,15,2,19,20,16,20,75,21
0,1,0,0,0,0,1,1,NA,44,27,20,27,20,18,15,12,12,57,11
0,1,1,0,0,0,0,0,NA,32,30,8,11,10,22,18,18,15,73,9
